ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Aguascalientes,2.7,4,7,9,11.2,13.1,12.9,12.4,12.4,10,5.5,4,8.7
Baja California,7.2,7.9,7.5,10.9,13.2,17.6,21.6,20.8,20.1,13.9,12.3,8,13.4
Baja California Sur,10.2,10.8,11.4,14.1,16.5,20.3,22.6,23.8,22.3,19.5,16.4,13.8,16.8
Campeche,18.9,19.1,21,22.8,23.5,23.6,23.4,23.2,23.2,23.2,19.4,19.5,21.7
Coahuila,5.3,6.5,11.2,15,18.9,21.2,21.4,21.5,19.5,16.3,10.7,10.8,14.9
Colima,17.6,17,17.3,18.3,20.3,23,23.4,23,22.8,23.2,20.8,19.8,20.5
Chiapas,17.5,16.6,18.4,20.1,20.7,20.6,20.5,20.4,20,19.8,17.1,16.5,19
Chihuahua,0.1,3.5,5.1,9.6,13.1,17.9,17.8,17.7,15.3,10.8,5.8,4.9,10.1
Ciudad de México,7.3,7.1,10,10.9,12.3,12.8,12.6,13,12.8,12.5,9.3,8.5,10.8
Durango,1.4,4.2,6.1,9.2,12.2,14.9,15,15,13.9,11,6.5,4.7,9.5
Guanajuato,5.9,6.4,9.7,11.8,13.6,14.1,13.9,13.6,13.7,12.1,7.6,6.4,10.7
Guerrero,16.9,16.6,18.8,19.2,20.4,19.5,20.1,19.8,19.6,19.5,18.1,17.7,18.9
Hidalgo,7.4,7.7,10.4,12.1,14.1,14.4,13.8,13.9,14.3,13.5,8.9,6.7,11.4
Jalisco,7.9,9.4,10.6,12.8,15,17.2,17.2,17.1,16.9,15.7,11.4,9.8,13.4
Estado de México,3.4,3.1,6.3,7.6,9.2,10,9.3,9.5,9.6,8.5,4.7,4.6,7.2
Michoacán,8.1,7.9,10.9,11.8,13.6,14.9,14.7,14.8,14.7,14,10.1,8.5,12
Morelos,11,10.9,14.2,15.3,16.7,16.9,16,16.3,16.4,15.6,11.7,11.3,14.4
Nayarit,12.4,13.9,12.8,16.5,19,22.2,22.5,22.5,22.4,22.3,18.4,15.2,18.3
Nuevo León,6.2,7.3,12.5,16.1,18.7,20,20.2,20.5,19.5,16.6,11.6,10.8,15
Oaxaca,13.4,13.4,15.4,17.2,18.5,18.4,18.4,18.4,18.1,17.7,14.8,13.4,16.4
Puebla,7.9,7.7,10,12.2,13.1,13.7,12.7,12.6,13,11.9,8.3,7.7,10.9
Querétaro,8.4,8.1,11.4,14,15.5,15.9,15.6,15.1,15.4,13.7,9.1,8.2,12.5
Quintana Roo,20.2,20.4,21.8,23.6,24.8,25.1,25.1,24.9,24.9,24.3,21,20.5,23.1
San Luis Potosí,11.7,11.5,15.3,18.2,19.9,20.1,20,19.8,19.5,17.7,13.6,12.8,16.7
Sinaloa,9.7,11.1,10.7,14.6,18.6,23.8,24.2,24.3,23.9,21.7,17,12.9,17.7
Sonora,4.8,6.1,6.9,11.8,14.6,21.6,24.4,24,22.1,14.6,10.9,7.7,14.1
Tabasco,20,19.7,21.8,23.9,24,24.1,24.1,23.9,23.9,23.7,20.5,20.8,22.5
Tamaulipas,11.8,11.4,16.2,19.8,22.3,23.3,23.3,23.8,22.8,20.3,15.7,15.6,18.9
Tlaxcala,3.8,3.2,5.7,7,8.9,10,8.6,9.1,9.6,8.3,4,3,6.8
Veracruz,13.8,14,16.2,18.6,20,20.2,19.8,19.6,19.7,18.9,15.2,15.2,17.6
Yucatán,17.7,17.8,19.7,21.8,23.1,23.3,23.3,23.2,23,22.2,18.7,18.6,21
Zacatecas,2.4,4.4,6.9,9.2,11.9,14.1,14.1,13.5,13.2,10.5,5.8,4.3,9.2
Nacional,8.2,9.3,11.4,14.4,16.8,19.2,19.7,19.6,18.7,16,12,10.6,14.7
